Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/28/2024,10/28/2024,Expense 1,Shopping,Sale,-31.86,
10/28/2024,10/28/2024,Expense 2,Travel,Sale,-21.16,
10/27/2024,10/28/2024,Expense 3,Food & Drink,Sale,-53.50,
10/26/2024,10/27/2024,Expense 4,Shopping,Sale,-47.89,
10/26/2024,10/27/2024,Expense 5,Health & Wellness,Sale,-56.82,
10/27/2024,10/27/2024,Expense 6,Food & Drink,Sale,-52.45,
10/25/2024,10/27/2024,Expense 7,Shopping,Sale,-159.98,
10/24/2024,10/25/2024,Expense 8,Shopping,Sale,-42.49,
10/23/2024,10/24/2024,Expense 9,Food & Drink,Sale,-16.04,
10/23/2024,10/24/2024,Expense 10,Shopping,Sale,-29.70,
10/22/2024,10/23/2024,Expense 11,Food & Drink,Sale,-49.55,
10/22/2024,10/23/2024,Expense 12,Groceries,Sale,-8.49,
10/21/2024,10/23/2024,Expense 13,Food & Drink,Sale,-21.25,
10/21/2024,10/22/2024,Expense 14,Shopping,Sale,-22.99,
10/22/2024,10/22/2024,Expense 15,Shopping,Sale,-23.90,
10/20/2024,10/21/2024,Expense 16,Health & Wellness,Sale,-112.00,
10/21/2024,10/21/2024,Expense 17,Shopping,Sale,-12.74,
10/20/2024,10/21/2024,Expense 18,Food & Drink,Sale,-2.14,
10/19/2024,10/20/2024,Expense 19,Shopping,Sale,-38.23,
10/19/2024,10/20/2024,Expense 20,Shopping,Sale,-10.61,
10/18/2024,10/20/2024,Expense 21,Groceries,Sale,-29.85,
10/14/2024,10/16/2024,Expense 22,Groceries,Sale,-27.05,
10/15/2024,10/16/2024,Expense 23,Shopping,Sale,-106.24,
10/15/2024,10/16/2024,Expense 24,Food & Drink,Sale,-52.09,
10/13/2024,10/15/2024,Expense 25,Travel,Sale,-204.20,
10/14/2024,10/15/2024,Expense 26,Shopping,Sale,-13.80,
10/13/2024,10/14/2024,Expense 27,Food & Drink,Sale,-63.50,
10/13/2024,10/14/2024,Expense 28,Health & Wellness,Sale,-68.00,
10/13/2024,10/14/2024,Expense 29,Food & Drink,Sale,-27.55,
10/12/2024,10/13/2024,Expense 30,Health & Wellness,Sale,-31.85,
10/13/2024,10/13/2024,Expense 31,Shopping,Sale,-75.05,
10/11/2024,10/13/2024,Expense 32,Entertainment,Sale,-24.95,
10/09/2024,10/11/2024,Expense 33,Personal,Sale,-20.00,
10/10/2024,10/11/2024,Expense 34,Groceries,Sale,-18.15,
10/09/2024,10/09/2024,Expense 35,Professional Services,Sale,-89.93,
10/06/2024,10/08/2024,Expense 36,Food & Drink,Sale,-102.41,
10/07/2024,10/08/2024,Expense 37,Groceries,Sale,-11.08,
10/07/2024,10/08/2024,Expense 38,Food & Drink,Sale,-64.84,
10/06/2024,10/07/2024,Expense 39,Shopping,Sale,-42.09,
10/05/2024,10/07/2024,Expense 40,Groceries,Sale,-5.30,
10/06/2024,10/07/2024,Expense 41,Shopping,Sale,-10.00,
10/07/2024,10/07/2024,Expense 42,Travel,Sale,-14.69,
10/06/2024,10/06/2024,Expense 43,Travel,Sale,-21.20,
10/04/2024,10/06/2024,Expense 44,Bills & Utilities,Sale,-120.00,
10/03/2024,10/06/2024,Expense 45,Travel,Sale,-14.07,
10/06/2024,10/06/2024,Expense 46,Travel,Sale,-20.16,
10/05/2024,10/06/2024,Expense 47,Bills & Utilities,Sale,-15.49,
10/05/2024,10/06/2024,Expense 48,Travel,Sale,-24.65,
10/03/2024,10/06/2024,Expense 49,Food & Drink,Sale,-18.68,
10/02/2024,10/06/2024,Expense 50,Travel,Sale,-2.30,
10/03/2024,10/06/2024,Expense 51,Travel,Sale,-104.86,
10/05/2024,10/06/2024,Expense 52,Food & Drink,Sale,-53.50,
10/01/2024,10/02/2024,Expense 53,Food & Drink,Sale,-18.90,
10/01/2024,10/02/2024,Expense 54,Shopping,Sale,-2.11,
10/01/2024,10/02/2024,Expense 55,Entertainment,Sale,-8.00,
10/01/2024,10/01/2024,Expense 56,Travel,Sale,-22.22,
09/30/2024,10/01/2024,Expense 57,Groceries,Sale,-6.73,
09/30/2024,10/01/2024,Expense 58,Food & Drink,Sale,-27.75,
09/30/2024,10/01/2024,Expense 59,Shopping,Sale,-31.10,
09/29/2024,09/30/2024,Expense 60,Food & Drink,Sale,-24.24,
09/27/2024,09/30/2024,Expense 61,Personal,Sale,-15.00,
09/28/2024,09/29/2024,Expense 62,,Payment,2127.93,
09/27/2024,09/29/2024,Expense 63,Food & Drink,Sale,-57.05,
